tweet,Personal_Attack
@Quest15011954 @WSJ He would not sit back and allow them to torture and dismember him.  He obviously had to die.,1
@SkyNews It is not racist because it is not a race.,0
@NYDailyNews 🎶 Is he black or white????? 🎶 https://t.co/G5sIoqFCVk,0
"@Digbylj @JuliaHB1 The racist and hate party, labour.",0
@darrenrovell @hornets No Alonzo Mourning bobble head?!,0
@Independent WHITE PEOPLE DONT LIKE TO HEAR THE TRUTH.,0
@AskAnshul @PMOIndia pls check n punish the culprits @republic @aajtak @ndtv @ZeeNews,0
@SkySportsNews why is fat Sam the 🛎🔚on your show fat fraud😡😡,1
"@ABC Not distorted... calling it like it is, you are a racist!",1
"RT @ty_danielle: Update: I survived all 5 semesters. 2 years later after all the crying, long nights, and stress.. I finally have BSN, RN b…",0
@cnnbrk His Acts like a child Trump Russia won’t help you  be president again and your outback people you no david dukey,0
@LNation10 @pauldirks @BostonGlobe Reality is transphobic,0
@STVNews When you spread hate then your actions should be curtailed. Shameful organisation.,1
@TheEconomist @NorthwesternU @David_Goodhart We should have one country called the world where we all live and belong,0
@Gulouna @ResoluteSupport so many people were here to erase Pakistan and gone but Pakistan is still there .... hope… https://t.co/ribMZrpBpI,0
@elitelli_a7x esta super rico🔥🔥 aunque he pillado uno amarillo❄️❄️,0
@nypost Death pen,0
@johnnyfeltham @USATODAY The white rappers or the black rappers?,0
@tribelaw @NBCNews The Corrupt GOP knows Trump is guilty as sin! Thy don’t care they just want power!! Fuck democracy!!! fuck the GOP!!!,1
"@PhilipRucker @anrimaca100 @jdawsey1 Vindictive, small-minded man with a heart that is much too small.",1
@CNN Good .. rot,0
@j_s45 @atensnut @MSNBC LOL.  Back at you.  Mexico build that wall yet??,0
@NBCNews He looks exactly like a trump supporter should.,0
"الذكر عند الدخول المنزل:بسم الله ولجنا وبسم الله خرجنا
♻️ https://t.co/g7uTYe6a2L",1
@nytimes You hired a racist @sarahjeong. You’re no longer credible.,1
@ZeeNews Chaat lo ... What. ? ass,0
@AP_Africa @AP Where are the white soldiers?,0
@CNN Fake news NOT what he said. What is wrong with you people,1
@BBCJonSopel @BBCLBicker GDR used barbed wire to build their wall too.,0
@saundersm3901 @CBSNews Your president is more interested in his own hide. He cannot affectively entertain any other thoughts!,0
@Purrsistant1 @Bowling_Mama @FlyIngenuity @Milbank @dahnb2010 So Tamara...do you have any thoughts of your own? Or… https://t.co/YFzdiGVePE,1
@NYDailyNews Evil #feminist .,0
@LivEchonews I hope it fucking lashes down. Snow hail sleet the fucking lot.,0
@HuffPost I’m sorry to say your nephew is repugnant! He is helping destroy this country.,0
@LucasLcsR @CriaDoMdc O que eu fiz 🤣🤣🤣,0
@taytay3593 @cnnbrk dumb trump supporters will believe anything Trump tells them... They're stupid beyond belief.,1
@afneil Grow the fuck up Andrew,1
@StoughMichael @TomMorrisJr1 @Katrina65067349 @danabrams I think we can do it. :),0
ربِ إنك ترآنا وتعلم بَ حآلنا فَ أبدل عسرنا يسراً ، و أبدل شدتنا بَ الفرج القريب من عندك يا رب https://t.co/2o9TpNNa4m,0
@TheSun Break his bones and then feed him to the lions,1
@Dale_Nitz @Evil_weirdo @nypost What a pile of garbage. Go do some real research and study how mental instability c… https://t.co/UVHdj3vJfH,1
@MSNBC @gailpmason @maddow Pop goes the WEASEL...the WEASEL goes pop!!,0
RT @nnAnetsirK: @ABC Wow this is disgusting. This white on white crime needs to stop. Seriously,1
@ColMorrisDavis @RickSantorum @SenJohnMcCain @realDonaldTrump @CNN @ChrisCuomo The disturbing thing is anyone who b… https://t.co/ZUj7hL3i0Q,1
"RT @BostonGlobe: Warren calls US criminal justice system ""racist"" https://t.co/CysA9VV8MO",0
@tajhell @FoxNews The word Islamic terrorist is a misnomer,0
@CBSNews Idiot.  Go nurse your bone spurs at the resort.,1
RT @Newsweek: Here's how Winston the White Corgi became an Instagram star. https://t.co/jkLOEUxpVz,0
"@Debs362436 @WMLabourVoter @mikeyfort @Chuckworth71 @Channel4News Nope, nope and nope.

We are not Norway.",0
@wolfblitzer @IAMGUILLERMO @JimmyKimmelLive People still go on his show I thought it was cancelled,0
"@AbruptlyD_C @FoxNews Lowest black employment rate ever. What appears to be a ,granted slow, denuclearized Korean P… https://t.co/yvR2dIQJfD",0
"RT @Leonardo_Padron: El dictador en cadena nacional dice “yo pido una oportunidad”. Y suena a ofensa, a agravio mayúsculo, luego de tantos…",0
@washingtonpost Oh no 🤦‍♂️ defending white People is this politically correct,0
@MrTomMcDermott Shy injuries we’re screwed!!,0
@CristCacewx @kennygadegbite @McKid70 @J_W_Bennett @CNN Hey genius..the actual term is “Muck Up”.  Changed to “Monk… https://t.co/eOj2rZFssq,1
@AP Conflating gay and #pedophile is inexcusable. This nonsense should stop. #progress,0
@imwren @cenkuygur @politico @daveweigel @brianstelter Rob Porter gave his wife a black eye.,0
"@RoyApplegarth1 @ScotWedPhotos @thealmightyquin @Channel4News A racist stirrer, certainly👍
Can't abide any of you",0
2 pit bulls kill elderly woman walking in North Carolina - ABC News - https://t.co/Z4QzJRObnR via @ABC,0
@JohnnyRizzo1 @CapehartJ 😂😂😂😂😂😂😂 I'm dead.,0
@IngrahamAngle @ABC Racist,1
@theJeremyVine @AndrewMarr9 @theresa_may @MarrShow @MichaelPDeacon She'd really like to say 'You will be exterminat… https://t.co/uC0UzlwDhG,0
@SexyHunchback @FoxNews @foxandfriends Dont hate he doesn't lie maga 2020,0
"@jdawsey1 Gen Flynn, a confessed liar to the FBI?",0
@astroehlein Shoot the charlatan before he murders more of the audience and hogs more of the good popcorn?,1
"@zlj517 Not better U execute culprits rather whole community,childs,women,Men,Old,young all
Which law allow you to… https://t.co/0fL8d94ESC",0
"@NBCNews Coal is the only black energy Trump likes. See, he ain't no racist.",1
feeling like trash today. been doing sooooo much by myself and my body is crying LOL 🤷🏻‍♂️,1
"@ABC THAT IS JOHN S MCCAIN, REST EASY, REST EASY BROTHER, WE WILL SEE EACH OTHER AGAIN. @ABC @FoxNews @NBCNews… https://t.co/tW3ngNTXFE",0
RT @lyuxiaoxian: @CGTNOfficial Shoot them down - PLA Air Force.,0
"@politicalrussef @mary_v1ctor1a @ckelvidge @FOX4 In 2017, 457 white people got shot by police. White people are 61%… https://t.co/LBcZfgGeh4",0
@eye_and_i @RealDLHughley @USATODAY And being white helps out a lot,0
"@FoxNews @foxandfriends @CLewandowski_ Maybe because they weren’t vile, lying, racist, traitors?",0
"@WSJ Hope he wins a Hundred Million from those clowns!
Not for him...but for a ""Stupid Fee""!",0
#NoMoreManipulation #NotInRavangla #NoTwoCampus #TheHomelessNIT #NITWithoutCampus #NoMoreDelay @pawanchamling5  … https://t.co/9UGgug6JbS,0
"@AdrblyFerocious @nytimes I know it seems like Trump hates chain migration, but what he really hates is brown people.",0
"@SkyNews His money to waste, his time to waste, won’t change anything.",0
@antihero_kate @BigHairyMarty I have been speaking out about this too.  I personally know a number of women who hav… https://t.co/nuBGQn08Jv,0
@CNN I hate Donald Trump#Trump,1
@ChannelNewsAsia On clown at sg cyber security head said Aftr singhealth hacking our ic details are of no significa… https://t.co/aBBYj7xOCp,0
@PhilHayYEP Fuck sake Phil,1
"@NBCNews ...she said to the White House Press while standing in front of the White House, which is where the President lives.",0
@ThisWeekABC @ABC But you have heard your master call African countries Shithole places.,0
@CNN Does she know who she's married to?  Hypocrisy at its finest.,1
Hey @FoxNews what brings you to the conclusion that these people are racist? Please share.,0
"RT @mk000maro: 今日は早々とマリンは中止か💦
そりゃそうだよね🍃☔ https://t.co/5WJsTAx7wN",0
@NadineDorries @guardian @metpoliceuk @spectator Clutching at straws Nadine.,0
@CNNPolitics Omarosa is so full of crap! Why does she even get acknowledged? Is there no real and meaningful news to report?,0
"RT @DrABHosey: Happy 100th Birthday to Ms. Katherine Johnson, NASA human computer who calculated trajectories for the Apollo space missions…",0
RT @ERYANIM: ٣-المجتمع الدولي والمنظمات والهيئات الدولية المعنية بحقوق الانسان تتحمل مسئولية غض الطرف عن ممارسات المليشيا الحوثية الاجرامية…,0
Pervert hoped to travel to a country with a lower age of consent https://t.co/BxWdE7o47O via @MailOnline.This filthy monster should be hung.,1
@wall3world @CBCNews @TheRebelTV Rebel TV are anti Islamic racists,1
@OutFrontCNN @CNN Well midterms r so near &amp; I can’t wait for GOP to hear us roar it’s going to be a big FU GOP,1
RT @Palmysmoothie: ก็ว่าอยู่ว่าทำไม BTOB โพสต์รูปนี้ในไอจีทุกคนเลย สรุปช่วงที่อึนกวังไปเข้ากรม มินฮยอกจะขึ้นมาเป็นลีดเดอร์แทน เหตุผลที่เลือ…,1
"even progressives know how pathetic #russiagate and @CNNPolitics are.

Fake, lame, reaching and stupid

https://t.co/j5p73CuaWJ

#TDS",1
@LaurenceMcBeth @BrexitBin @VotePursglove @RemaininEU Sounds like a @UKIP leaflet,0
@TheSun is definitely what the #CorruptFuck calls #FakeNews!  Luckily only #Trumpsters are the only ones who believe their garbage! 🤣🤣🤣🤣🤣,1
@HuffPost This defense is so bush league. Change white to any other color in those tweets and the person is gone in a NY minute.,0
@theipaper Well we’re all going to die aren’t we so we won’t need any of those 💩💩💩,0
The power and tyranny of this: !     https://t.co/9G2MZhoAA9 via @WSJ,0
"Gay, Native American nominee wins primary in deep-red Kansas https://t.co/9FqlYbmvyh via @NBCNews",0
@BailBondQueen @RepClayHiggins @realDonaldTrump @foxandfriends @FoxNews @IngrahamAngle We’re in the trenches fighti… https://t.co/KReKWsQvXR,0
"@tigermacri @PaulCBS12 @spj_tweets @BN9 @Laurie_Davison @SaundraONTV @MomsontheGo @FlaMediaQueen Thank you Pasquale! Nah, I’ll be around : )",0
"@cnni Why I have tears in my eyes?

M not even related to anyone of them.",0
@JoeConchaTV I hate those angry tomatoes!😉,0
@washingtonpost Can we trust the White House?,0
@gavinesler .@JasonJHunter should have his own show! @BBCNews @SkyNewsPolitics @itvnews @Channel4News,0
@mrbrnstone @ShittTrumping @2naOnWhite @FoxNews Little less CNN and a little more common sense would do you some good #winning,0
@thetimes Shame on you Rowan.,1
RT @NossieKhakaza: #AskAMan Can anonymous teach me how to hack WhatsApp please tog 🙋🏽‍♀️,0
Latino construction crew stage walkout to protest racist boss https://t.co/BGsCOd5hJu via @MailOnline,0
@washingtonpost You so hate @realDonaldTrump you want him caught in perjury trap. Hey WAPO #FAKEYOU,1
"@realDonaldTrump @FoxNews You, sir, are the shame if America. Your Hitler talking points from “Mein Kampf,” are rec… https://t.co/nUm9uQyp4k",1
@LivEchonews These bastards should be hunted down and tortured! Made me feel sick this.,0
RT @jiffyfufu: บางทีโอนเงินไปแล้วถึงคิดได้ว่าซื้อมาทำไมมมม,0
@ShannonBream @FoxNews @foxnewsnight Had to shut u off. Folks like Adrienne are not honest. They are paid assassins… https://t.co/eMSR5QZEkO,1
@water_ner_win_ ㅓ아닠ㅋㅋ왴ㅋㅋㅋ이런거 ㅋㅍㅋㅍㅋㅍㅋ캡쳐하고 ㅋㅍㅋㅍㅋㅍ계십닊갘ㅍㅋㅍㅋㅍㅋㅍㅍㅋㅍㅋㅍㅋㅍㅋㅍㅋㅍㅍㅋㅍㅋㅍㅋㅍㅍㅋㅍㅋㅊㅋㅊㅊㅋㅊㅋㅍㅋ얼굷만 봐도 웃긷자나욬ㅍㅋㅍㅋㅍㅍㅋㅍㅋㅍㅋㅍ큨앜ㅍㅋㅍㅋㅍㅍㅋㅍㅋㅍㅋㅍㅋㅍ,1
@FoxNews Go fund them go funky,0
"@afneil Opportunities for British kids.... zero hour contracts, minimum wage, gig economy.  Bet those European kids are devastated.",0
@BDUTT You report what you like not your viewer like or important for them,0
@skysarahjane @SkyNews @UN @skynewsniall Wot!? And slaughter all those animals and let them rot? Joking apart: a me… https://t.co/wZnaTmLdSe,0
"@kthalps @theProgSoapbox @jimmy_dore @RT_com @LeeCamp These day's, it could be one of three things. 1. A Nuke 2. An… https://t.co/uJqVijIRMx",0
"@GodHatesUK @itvmeridian @itvnews @PrideBrighton It was never true, idiot..",1
"@BrookesTimes @thetimes Shoulda stuck to doing smutty postcards, your cartoons are shite but of course it is The Ti… https://t.co/NoxwH0n8NC",0
@KarenAttiah @NickKristof @BDUTT @NaomiAKlein @jaketapper @HamidMirPAK @Raniaab @monaeltahawy @mehdirhasan… https://t.co/hkwMin130z,0
@Channel5Sport @GeoffreyBoycott @ECB_cricket @BCCI @TheAgeasBowl @MichaelVaughan @mcjnicholas @AlisonMitchell… https://t.co/argVc5KxF7,0
"@NBCNews It’s an invasion.

Build the wall, guard it with guns.",0
This is what pisses me off!! Call them on their lies if you insist on giving them air time😡😡 https://t.co/80pKiwLNJS,1
@Lord_Sugar @UKHouseofLords @LordAshcroft @UKIP @matteosalvinimi   @geertwilderspvv @Nigel_Farage @GerardBattenMEP… https://t.co/onvR5TWApB,0
@JaneidyEve @TIME Show us your logos anyway,0
@SenBlumenthal @ChrisMurphyCT Time to give up on CNN.  You should follow Fox News and appear on Fox!  You may not l… https://t.co/0dZXmzOrCr,1
@christophurious @washingtonpost Bullshit.,1
"Nuevos seguidores: 3, unfollowers: 0 (19:57) #TuitUtil https://t.co/NNpiwLrG3p",0
"@parislees @RuthieeL @EamonnHolmes ""Men are afraid women will laugh at them. Women are afraid men will kill them.”",0
@MSNBC You go gurl!!!  Tell us the truth!,0
"デイリースポーツはサンテレビと一緒に阪神タイガースだけ追いかけていてほしい。
私の好きなアーティストに絡むのはやめてほしい。",0
@nytimes South African president should emulate late Dr Nelson Mandela of blessed memories style of leadership,0
@cjmoose @ash_like_whoa @CuriousKat2017 @Es2go @Greg_Palast @ChloePolitiCat Ky’s Secretary of State is a Democrat. She doesn’t purge people.,0
@steven69178886 @MoonWatcherTMA1 @WSJ @tunkuv Paul Ryan is pro-immigration. So are many other Republicans. Trump is the exception.,0
@Minniecoggs @CooperRori @FoxNews @RealCandaceO @realDonaldTrump Sauce?,0
@EricHolthaus @jaketapper Almost a gigabyte... fuck,0
@FoxNews Do you mean economic growth like US Steel industry is enjoying thx to #TrumpTaxCuts +… https://t.co/tV1b1EtWgO,0
@danbloom1 What a sin! Hang the bugger!,1
@jdawsey1 @FemmeNatale89 Criminal Hunter begins angling for a pardon,0
@Bluebird19273 @ColinBell2505 @Theminoltakid @gillcwill @et957 @charlozzi @fiftyminus2 @itsSaraOlsen @Mandtakespics… https://t.co/qfwNwfckdF,0
@NPR You mean a white nationalist drove a car into...,0
RT @IEPS_Ec: Equipo técnico @IEPS_Ec y @EducacionZ7_Ec capacitan a 80 emprendedores de la #EPS sobre proceso de contratación para arrendami…,0
@Chelovek0363 @simongrey1 @SkyNews Good man!!! Don’t burn them them cd’js 😍,0
@DavidCayJ @jackjonesbabe @CapehartJ He has been one all his life I personally have never thought any different it is who he is racist,0
@AP Hell yaaaaaaaa #BuildtheWall #NotWelcome #Invasion,0
@FoxNews Political suicide. He’ll take down others with him.,0
@cnni we Bangladesh people need your help please help us please safe our students please help us please,0
"@MashhourII @KarenAttiah U beheaded shiekh nimr as well, this time you will not go away eaisly.",0
@DonaldJTrumpJr @CNN The joke is you. Can’t trust a liar who calls out another liar.,1
You can find a copy of the motion to hike or revoke Jason Van Dyke's bail here: https://t.co/ZBZwYAH2bQ via @suntimes,0
@TIME So this black Bond is going to screw all the beautiful white women or will they be black?,0
@mattdpearce Smack dab in the middle. No more than 2 sentences,0
@beansandsausage @andyjm_ @BBCBreaking Probably is he should be hung with the rest of them,1
@CBSNews Senators get two days from death. He got that. Stop spreading hate.,0
@neeratanden @joanwalsh @CBSNews @CBSNews Did you even LISTEN to what @BetoORourke said??,0
"@Scheherazade101 @valmcdermid @JaneSAnderson15 @brianlavery59 Naw, it's really @theSNP V The WM monsters. Really😉",0
"@SkyNewsAust are news you can't trust, opinions you should ignore because they give racist cunts like blair cottrell a platform",1
@DefenceHQ @COLRICHARDKEMP @40commando @RoyalNavy Good patrol formation,0
@jdawsey1 Left beheaded though,0
"RT @monvalpa: He leído esta investigación hecha crónica de @gabrielawiener y @disalch, y he quedado impactada. Extremadamente aterrador, no…",0
RT @jessicahardy_0: Comparing yourself is the worst thing u can ever do absolute confidence wrecker. Labradors are cute and collies are cut…,0
@samuelluckhurst He is point on bloody show some respect. Them journalists can spread AIDS without HIV,0
@deray Typical @npr sanitization of a story.,1
"@LighteningBolt9 @EricYesyev @CCHQPress Keep these bastards out, let them in and they will cause more trouble. They… https://t.co/JwHfI7eY6h",1
@FoxNews I can’t believe Trump supporters hate the news media like @CNN @CBSNews @NBCNews @nytimes and @washingtonpost.,0
@CNN @CNNOpinion Holly Thomas should do the world a favor and kill herself.  CNN = F,1
@washingtonpost Man their so racist,1
"RT @El_Plural: Tras las informaciones desveladas por @El_Plural el alcalde ha pactado con Ciudadanos una comisión a medida
https://t.co/ocz…",0
@Jon97632004 @afneil So defeatist. We'll grow our own obviously,0
@washingtonpost Still pretty sure NDA’s for White House staff are illegal due to Public Records laws. WaPo want to make a ruling on that?,0
Farrow: Memo in White House warned of conspiracy @CNN https://t.co/ykAswkWSor,0
@SportsBreakfast @talkSPORT @GarethADaviesDT @Tyson_Fury @BronzeBomber I think it will happen. Just not this year.,0
@TOIIndiaNews @republic @ndtv @aajtak pls raise a voice for #AvniTheTigress @AnushkaSharma you are an animal lover… https://t.co/MRCbtLqmSK,0
@nytimes I will never buy or read a story from the New York Slimes! You hire racist! I actually believe you hate America!,1
@FoxNews Tiger woods never accepted that he was black am not surprised for his stupid comments,0
"@HanaPotter14 Another piece of news you'll never see in any of the British anti US, anti Pres Trump legacy media.… https://t.co/PgAk2gESl9",0
"@Daniel_Cousins @heawood These people? People like this for example?

https://t.co/YVLLgLta9y",0
"@rachelweinerwp @washingtonpost Ok, jail this mofo!",1
@laurahillnews you no longer own a white top,0
"@ucjtlllll @Angry_Brexiter @BeaumontBee @afneil You are arguing that ignoring the undeniable fact that people, econ… https://t.co/hkQJmnhp5b",0
@stephbreakfast @TheGrocer Hate carrots 🤮,0
@ProPublica @HoarseWisperer @SouthwestKey This is so outrageous. Please hold these people accountable!,0
@ShiraOvide Sounds to me like they're holding a dildo.,0
@emmdee22 @CNN Yeah that statement vs the 7 lies per day Trump tells. The latest? Lester Holt doctoring the video w… https://t.co/9AzfmmVsK9,0
"@johniago @Pezza240 @mmeil629 @brianmoore666 To quote an ancient sage : who's the more foolish, the fool or the fool that follows him?",0
@NYDailyNews See even after all those layoffs you still are putting out fake news. You deserve to go out of business.,1
@ZellnerLaw @lifeafterten @michellemalkin @EFMoriarty Kratz makes me sick! I want to throw up when I see or hear hi… https://t.co/vlTKDodxQ0,0
@ABC @KennieBassWCHS This is stupid. Another reason for people not to go to work.,0
RT @DianneCostin: @DrCraigEmerson @SkyNewsAust Good on you. I applaud your integrity.,0
@NBCNews @MSNBC Well I think your racist against “white folks” I feel your using a racial slur!,1
"@ERICBALFOUR @CBSNews How about before we bitch about protesting the anthem, we learn to uphold what it’s meant to fucking stand for.",0
"@FoxNews WRONG, WRONG, WRONG.....HE Must build the wall and STOP all immigration and DEPORT ALL ILLEGALS IMMEDIATLLY !!!!!",0
@DNV_official @SkyNews Anyone who voted for brexit should be knighted. Anyone who voted to stay is a traitor and sh… https://t.co/S47qNtWcBZ,1
@Kimmy_Rampersad @RadioMaga @TorontoStar @ShawTheatre Congratulations Kim! Keep slaying all the dragons.,0
"@realDonaldTrump @CNN This is his only card left to play
He knows that impeachment will only stick if the people wa… https://t.co/aJczhmPjIm",0
@Imamofpeace @CNN will find a way to say it doesn’t always mean kill white people!,0
"@FoxNews @POTUS @FLOTUS Kids are color blind and loves all colors, unlike 45, he only loves white.",0
"@nypost Gee, that’s too bad. I hope he dies in prison the same way Manson did",1
@UmarCheema1 Can we please have the honour seeing your pic performing EID prayers. Pretty stupid demand right?,0
"@business Last time I was in China 10,000 dead rotting diseased pigs were dumped in the river upstream of the city… https://t.co/D32OEWlCqe",0
"@afneil No, Galileo is for countries in the EU
Once you agree to funding a project you are committed to paying your… https://t.co/EN997wYuPJ",0
@CNNPolitics The word monkey is racist?,0
@wallaceme He looks gay,0
Just 21 People Are Known to Have This Rare Genetic Condition. Can You Help Us Find More?   via @NYTimes https://t.co/WlkBjO68vN,0
@ChicagoSports @PWSullivan Stay out of White Sox business there Paul #goaway #cubsfan #northsidehomer,0
"@ChiswickMonitor @Shoryukenzi @mrkernow @Benjwestwood @lucianaberger @janemerrick23 @UKLabour You're all over the place here, Chiswick.",0
More strong cover work from @TIME here https://t.co/W5Kz6iXxgk,0
"@CapehartJ Every time he claims he’s done so much to alleviate black unemployment, all I hear is, “See? I’m not racist!”",0
"People hate when you're #petty, according to science https://t.co/h2QbUqFMM3 via @TIME #Pettiness",0
@CNN Crook should go to jail,0
RT @luscas: merece ganhar tudo que tá concorrendo apenas por ser muito meu bb gustin 📸 Getty #TeenChoiceWarner https://t.co/RzMRIES62z,0
@NPR This headline is bs. She was murdered by a white supremacist.,1
"@abbydphillip @AprilDRyan @Yamiche  @CNN @MSNBC @ABC @CBSNews @NBCNews SO TRUE, CUT OFF THE OXYGEN &amp; DO YOUR PART T… https://t.co/HBd2vwHfx2",0
"@TheEconomist I worry about the babies that die before 1 day of age, and the mothers that die before their babies are one day of age",0
@brianstelter Because some nut ya'll amped up may try to kill him.,0
@NBCNews @NBCOUT Why his or her genitals bother you so much.,0
RT @Paisdiogo10: Gostava de ser a “sorte grande” na vida de alguém,0
@cnn @npr why the fuck are you dumb fucks giving a platform to white supremacists.,1
"Good. Fuck @NPR.

At least Fox News is honest about their divionist bullshit. https://t.co/0ENkwXPAfG",1
@ABC Good ol’ boys defending bad ol’ boys.,0
@Newsweek Like a comedian once said. “ Not all Trump supporters are racist. But all racist support Trump” end quote.,0
@CBCNews  And CBS helped kill it https://t.co/n9gTWCeGCD,0
@MSNBC @morningmika Mika is just so smart! And pathetic!,1
@kdkilbane77 @McDonnellDan @Ui_Maine You are 100% spot on re the whole #declanrice situation Kevin #FAI,0
@DPJHodges How do you make it through the morning without accidentally drowning in your orange juice you absolute joke,1
@FoxNews Most of the founding Fathers of US were imported.,0
"@TheSun This is laughable.  What a bloody mug.  Happy for his fiancée to flirt outrageously with another bloke, acc… https://t.co/Tgsiy0LGxW",0
@saraprice09876 @LovellPropguru @henrymance @StevePeers @AndrewMarr9 @LiamFox We were discussing the UK,0
RT @JoeyQuits: https://t.co/6XNZVXYPol,0
"White People Stop Calling 911 to Oppress Black People: When white people call the police on black people, they are… https://t.co/uCTVZcuDid",0
@thetimes @TheStephenRalph Well well. What a surprise. Boris plays Trump so well.,0
@CCHQPress @michaelgove @Telegraph Another load of fertiliser..,0
"@RepMattGaetz @JudgeJeanine @FoxNews Why?! are you going to announce indictments, or will this be another press con… https://t.co/gaivpVvECt",0
"@TheStarKenya Just say his name, he won't kill everyone",0
@jonkarl @WalshFreedom @realDonaldTrump is mentally ill that is for sure,0
@amitkatwala @elonmusk @WiredUK Great article.,0
@mark34567890 @BBCNewsnight @DerbyChrisW @maitlis Well according to your reckoning I must be doing those things to my grandad then huh?,0
@KmReport @UKParliament boo u wetties put the money back into the till u twats ps European vote 26/0 against @ResearchGermany @FRANCE24,0
@CBSNews A white cop would of just shot him frfr,0
@DailyMirror @lightnet1 Another one for the happy farm where do they find these plebs and stupid newspapers for print such trash.,1
RT @GaryMcsparen: @DailyMail Hope Obama doesn't call McCain a white Supremacist again during his uralogy .,0
@TheEconomist Counting back they are broke,0
"Let's all commit to being productive today! Are you with us?
https://t.co/8qz4CUJg3k",0
@IngrahamAngle @CNNPolitics Really “anti Hate speech” apparently CNN does not know what hate speech means.,0
Statistiques d'aujourd'hui: 1 nouveaux unfollowers via https://t.co/HhEJhcgmAN,0
"RT @nchauvet: @HardcoreHistory

Beautiful 😁

Source : u/BrokenZenith

https://t.co/4SMGoDFGmh",0
"@ABC plz don't die before u can go to jail , plz.",0
RT @OtisBlue22: Legs very much broken. Much appreciated @JohnnyThomson2  #legend #coldfeet #thefastshow Alan Ayckbourn’s Bedroom Farce off…,0
@toadmeister Non white people are appropriating white culture  every time they do or use something modern. White people invented modernity.,0
@brianstelter @AprilDRyan B/c only white women count in his mind and the minds of his white supremacist staff.,1
"@washingtonpost You have called everyone in the White House including, gardeners, cooks, drivers, and Secret Servic… https://t.co/crsC8oqGI9",1
"Trailer trash shitbag.

Most definitely racist and should be charged.

Cop claims Grime rapper is RACIST for demand… https://t.co/0NvaFw8Pj1",0
"keep it honest, simple and real.",1
@mxolisi_Madlal @JoeBold7 @ABC So only white people are racist? https://t.co/1UEqfbhOa4,0
"RT @attzsmendoza: @CBSNews @CBSThisMorning This professor's statement that coconut oil is ""pure poison"" is advocating 
pure nonsense.",0
"At Smith College, the racist incident that wasn’t https://t.co/Y1PBUXc0QV via @BostonGlobe",0
早速ピンチやんけ。,0
@CNNPolitics He hires those who rape our Nation for quick profit at any cost.,0
@AriFleischer @CNN = Hate America Network,1
@FoxNews I think he needs to join the Democrats! With his best buddy Coon!,0
"@NBCNews Non evil people do not have to ""learn"" not to sexually assault children!!!",0
@CNN US gave him asylum,0
@ABC Problem is he’s dumb as dirt and was probably just a paid shill for trump,0
"@nypost The gamer who opened fire on his fellow competitors in Florida, killing two of them, was packing a pair of… https://t.co/mclf8roEsL",0
"@FoxNews @miranda0x0 @KellyannePolls @BarackObama I hate Obama , I do",1
